"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"C1";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C2";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C3";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C4";"220µF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";
"C5";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C6";"220µF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";
"C7";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C8";"4700µF / 10V";"CPOL-EUE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"CONN1";"MX500075-1517USB_MINI-B";"MX500075-1517USB_MINI-B";"TH";"";"";"";"";"";"";
"CONN2";"LiIon";"JST-PH2";"JST-PH2";"";"";"";"";"";"";
"CONN3";"5VDC";"JST-PH2";"JST-PH2";"";"";"";"";"";"";
"CONN4";"USB-A female socket, right angle";"USB-A";"TH";"";"";"";"";"";"";
"D1";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";
"D2";"MBRS130LT3";"MBRS130LT3";"SMB";"Schottky Power Rectifier";"";"";"";"";"";
"IC1";"LT1302SO08";"LT1302SO08";"SO08";"";"";"";"";"";"";
"IC2";"MCP73871-2AAI/ML";"MCP73871-2AAI/ML";"QFN50P400X400X100-21N";"IC, BATTERY CHARGER, 1A";"MCP73871-2AAI/ML";"1642487";"54M4955";"QFN-20";"Microchip";
"L1";"DJNR6045-100-S";"DJNR6045-100-S";"DJNR6045-100-S";"Shielded Power Inductors";"";"";"";"";"";
"L2";"DE1205-18";"DE1205-18";"SMT";"";"";"";"";"";"";
"LED1";"green";"LEDSML1206";"SML1206";"LED";"";"";"";"";"";
"LED2";"orange";"LEDSML1206";"SML1206";"LED";"";"";"";"";"";
"LED3";"red";"LEDSML1206";"SML1206";"LED";"";"";"";"";"";
"R1";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R2";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R3";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R4";"270k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R5";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R6";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R7";"150k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R8";"NTC - 10k";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";"";"";"";"";
"R9";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R10";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R11";"75k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R12";"49k9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R13";"75k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R14";"49k9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R15";"270k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"S1";"POWER";"SWS001";"SMS-001";"SMD Dip Switch 1 pol.";"";"";"";"";"";
